# Generated release runtime artifact inventory
# Regenerate: .\gradlew.bat -I scripts/write-release-runtime-inventory.init.gradle :app:writeReleaseRuntimeInventory --no-daemon
# coordinate	artifact	bytes	sha256
com.squareup.okio:okio-jvm:3.17.0	okio-jvm:jar:-	381985	3b13dcc3e1573047c2d507fc4f7fcb0bb0cbcd9d395da21d20e09406e2cd6a73
commons-codec:commons-codec:1.19.0	commons-codec:jar:-	374716	5c3881e4f556855e9c532927ee0c9dfde94cc66760d5805c031a59887070af5f
commons-io:commons-io:2.20.0	commons-io:jar:-	563971	df90bba0fe3cb586b7f164e78fe8f8f4da3f2dd5c27fa645f888100ccc25dd72
dev.drewhamilton.poko:poko-annotations-jvm:0.18.2	poko-annotations-jvm:jar:-	4499	e54daa81cd038929633aec59606022e1eaa3432a3ca673494bbf1ae55e42234d
io.coil-kt.coil3:coil-android:3.5.0	coil-android:aar:-	8718	a3887f89de3b9bf54fe94d01f8bdb8d2bd224c00607e6a21ac90292c2b20d19e
io.coil-kt.coil3:coil-compose-android:3.5.0	coil-compose-android:aar:-	13997	7f8ce15e2fe1456f2a16d55f3e5ec9d345d6e1b38402695dcfaa1b5d572da1c2
io.coil-kt.coil3:coil-compose-core-android:3.5.0	coil-compose-core-android:aar:-	138690	e264bd7c08201780c699025ce69af58d40de276a44036e10358b1c641037c162
io.coil-kt.coil3:coil-core-android:3.5.0	coil-core-android:aar:-	479600	9e70b2889d5cd6a0e4bddd82eba2f63022b7790a24423060fb49a131ace5da75
io.github.dokar3:quickjs-kt-android:1.0.15	quickjs-kt-android:aar:-	1828904	406c3efb80d5fa3495df4a7f2663be8cc30c974fe5c2368effa929de77cf0ed8
io.github.huarangmeng:latex-base-android:1.4.7	latex-base-android:aar:-	9168	c6bb3406665593df788d8935fc76b00e75dd46247ec49be6cda4ceea5e26f5b5
io.github.huarangmeng:latex-parser-android:1.4.7	latex-parser-android:aar:-	445748	15794cfaae0624809643d078dcc1d9293e780cb6a7ea11a04463a44b1415417b
io.github.huarangmeng:latex-renderer-android:1.4.7	latex-renderer-android:aar:-	1379589	7fdd0b6abdf4be49f43c2da2f781a703c371bd8db17496b28f19f60f9a241160
org.apache.commons:commons-compress:1.28.0	commons-compress:jar:-	1117221	e1522945218456f3649a39bc4afd70ce4bd466221519dba7d378f2141a4642ca
org.apache.commons:commons-lang3:3.18.0	commons-lang3:jar:-	702952	4eeeae8d20c078abb64b015ec158add383ac581571cddc45c68f0c9ae0230720
org.bouncycastle:bcprov-jdk18on:1.83	bcprov-jdk18on:jar:-	8492458	82cf3a2af766c3bc874f6d36b9f20a8b99a8f09762dc776e8a227a45d8daaafb
org.checkerframework:checker-qual:3.33.0	checker-qual:jar:-	223979	e316255bbfcd9fe50d165314b85abb2b33cb2a66a93c491db648e498a82c2de1
org.jetbrains.compose.components:components-resources-android:1.10.3	components-resources-android:aar:-	191120	4107142270206273f4051842fcc2a2463c7a95bfdb18ac2c6f77704c909509a8
org.jetbrains.compose.ui:ui-backhandler-android:1.9.1	ui-backhandler-android:aar:-	4183	8f8f37d0eb33f597608bc20f875021b1d80db6f835c138cd7cef9093c7ad4c24
org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.9.0	kotlin-stdlib-jdk7:jar:-	958	b7979a7aac94055f0d9f1fd3b47ce5ffe1cb6032a842ba9fbe7186f085289178
